new-stars-rank__90,Great accounting software for freelancers and small teams,"Perfect for freelancers and small teams, FreeAgent includes all the aspects needed to control accounts, create / send invoices and keep an eye on projects. Highly recommended for any solo practitioners.If you plan to grow and scale your team, it can be a bit limiting, however it is still a great tool for smaller teams and individuals."
new-stars-rank__100,I'd be lost without it!,"I've been using FreeAgent for approximately 5 years, I think, and I would be lost without it. The app is really user-friendly, and I love how easy it is to submit my accounts to HMRC at the end of the year. On the few occasions that I've needed assistance, I've had an almost immediate response with helpful information. Highly recommended.It felt a little expensive at first as a solo trader, but I think it proved its worth in ease of use so quickly this isn't really a con. Plus they have a great affiliate scheme so you can bring the overall cost down by recommending others. "
new-stars-rank__100,Highly recommended,"I got access to this software FREE of charge through banking with RBS. Having previously used Xero for our book-keeping, I found it had the same great functionality  but a much slicker design. It's simplicity and ease of use is the best thing going for it. Had some issues at the beginning with connecting our bank feeds but this was sorted out quickly by the team at FreeAgent - can't think of any real faults with the software. "
new-stars-rank__100,Keeping Track Of My Finances,It is really easy to use and the data is displayed in a useful formatThe one downside is that it doesn't pull in the USD transactions from Paypal and this has to be done manually. 
new-stars-rank__100,We love this product!,"Makes accounting for our small but complex company simple and easy to understand.  It's clear, with lots of support, and has taken over from the spreadsheets/Sage/panic that used to be our system.  No cons - it really does solve all our accounting and administration issues"
new-stars-rank__100,My Accounting friend,"I use freeagent everyday for my business and it's like the best so far. Helps to generate invoices and estimates for client, it gives an overview of your account in the first page which you can easily see at first glance. I recommend freeagent anyday anytime.Freeagent generates number for each of the invoice or estimates which can be confusing sometimes especially if you have to delete that invoice or estimates but nevertheless it's a stress free software, it does all the work. "
new-stars-rank__100,Easily Navigated Platform,"Primarily, the best part about this product is Ease of use. Very straight forward and simplistic to learn. This product has 2 drawbacks: Doesn't text customers  Email campaign tracking features are very limited"
new-stars-rank__100,"If you're running a small business, you need this!","It's amazing accounting software and it's cheap as well. It does all for you, you don't have to have some great knowledge for it to use. I love it.I don't have anything negative to say about it."
new-stars-rank__100,Wilford,"It has a customizable   visual interface that makes working with this program great.  The projects section also has some great reporting functions. The recurring billing is a little bit difficult to get to grips with but once you understand it, there are no issues. "
new-stars-rank__100,The only accounting software I would use,Great customer support- all from trained accountants in the UK that are able to walk you through any problems you might encounter when doing you tax and vat returnsNone- inpeciable and consistent service at all times. 
new-stars-rank__100,So much easier ,The bank reconciling makes marking off transactions and paid invoices so easy. The ability to resend email reminders and show whether an email has been received by a customer is great. More template options would be good and the ability to put terms and conditions into the back of a invoice. 
new-stars-rank__100,Essential tool for managing finance,* Auto integration with banking API feeds  * Intelligent learning for your regular banking transactions  * Templates for sending invoices etc  * VAT & SA form integration with HMRC  * Slightly clunky UI for viewing recent expenses   * Inability to remove user's who have left the business  
new-stars-rank__100,Fantastically simple accounting software for small businesses,Incredibly easy to learn how to use even if you've never managed a business before.  Perfect for freelancers as well as small-businesses. Nice design both for the website as well as the PDFs created.Large businesses and more experienced accountants are likely to find the functionality a bit limiting.  
new-stars-rank__100,Quite possibly saved my business,"Where to start. I LOVE Freeagent! It's so easy to use, it gives great reports, it automatically pulls in bank statements! Brilliant!The only thing I would like to see is a little more clarity regarding the different categories of spending and VAT eligibility."
new-stars-rank__100,Very easy and great help function,I love how it links to my bank account and easily allows me to enter bills and mark them paid.  Some trickier transaction types were not obvious but the help screen is comprehensive.I haven't found an account reconciliation feature. I am used to that with QuickBooks and would like to have it here. It's possible there is a reconciliation feature and I haven't spotted it yet.
new-stars-rank__100,,
new-stars-rank__100,Took the worst part of owning a business and made it almost fun,The end to end connectivity. Booking time spent with a client turns into an invoice turns into a payment at the bank - and all this is tracked. What used to take hours in excel is all at a glance in FreeAgent. I wish that there was a way to use their time tracking module as a separate product. I no longer run a business but would love to use their time tracker with my team at the larger org I now work for. 
new-stars-rank__100,The perfect accounting software for freelancers,"It's an incredibly easy to use all-in-one accounting solution that's built for freelancers, all the way up to large businesses. Creating and managing invoices is very easy and you can even sync it up to your bank account. Whilst many of the more advanced accounting features go unused by myself I can clearly see the value in them for others.It's not the cheapest solution if you're just creating a few invoices each month but for any typical independent professional it's a great solution. I can't think of any real cons to this product."
new-stars-rank__100,Easily halved my time spent on bookkeeping and accounting,"I've worked with accounting software before so it didn't need much time to set up. I also like how everything is linked  contacts to invoices to banking feed... lots of the features are automised so you don't have to do everything twice and the system learns and adapts to your set up, e.g. it starts guessing the categories for expenses and other items in your banking feed.It doesn't come cheap which for a freelancer is perhaps the biggest hurdle. But it is good value for money."
new-stars-rank__100,Easy to use accounting software and a great mobile app,"FreeAgent is great in January when I can file my tax return directly to HMRC. The form is also filled with data I've entered throughout the year so self assessment time is pretty hassle free, which s unusual for a freelancer. I've just started using the mobile app and find that this is really is good too. I can take care of all the day-to-day stuff, like explaining bank transactions and entering mileage, when I'm out and about on business to stop it mounting up.The mobile app is really great, but doesn't yet have the same in-depth functionality as the desktop app."
new-stars-rank__100,Brilliant tool that I rely on daily,"It just works. The software looks good on desktop and connects to the mobile app well. From invoicing, to time tracking, to payroll, tax returns ... so much functionality and pretty much error free. Unlike other financial software, you don't need to pay more for features like payroll and multi-currency. Win.It would be useful to have a few more multi-currency features (e.g. multi-currency bills and expenses)."
new-stars-rank__100,FreeAgent - Great and Gets Better,"FreeAgent is a fantastic product.  I have only needed to use support a couple of times and they were more unusual questions.    As a freelancer, keeping an eye on income and expenditure, billing and chasing invoices and recording expenses with my phone is really important.  Add to that the easy submission of my tax return and it really is a great piece of software.I am a little disappointed that I could not receive any of the discounts offered to new customers.  (e.g. 6 months half price)."
