5,Once the operating procedure is learned the program is easy to operate and errors can be corrected quickly . The opening front page shows the general aspects of all the company functions at a glance and will allow expansion of each section with a click of a button. A very good and comprehensive package.,2020-01-31T16:22:38Z,Peter,https://uk.trustpilot.com/users/5e34544de5a4c723eb8c35f8
5,"Love the app, very easy to use",2020-01-30T21:32:25Z,Kathleen Ann,https://uk.trustpilot.com/users/5e334b696167812f9e8c154b
5,I love this software I used sage before which took ages and as a small business I never used it's full potential. This is easy and has some great features for projects and invoicing I would recommend. The bank link is great and the whole system is simple and easy to use. Good help library as well that's why its 5 stars I would recommend it to anyone.,2020-01-29T23:08:12Z,Accurate Building & Eng Ltd,https://uk.trustpilot.com/users/5226503400006400014aae8d
4,Difficult transition from traditional spreadsheet accounting. but really easy system to use once up and running,2020-01-29T22:32:13Z,Wayne,https://uk.trustpilot.com/users/5e3207ede5a4c78bd88ae5ae
2,I have really liked this program. Though sometimes it is a bit confusing and more recently it lost all of my synced information and I have had to try to go back through ALL of my charges to explain them. That has been extremely frustrating.,2020-01-29T20:13:59Z,Alex,https://uk.trustpilot.com/users/5dfcbb82361d61a65f047289
5,"Easier to use than I thought, efficient and effective.",2020-01-29T18:36:42Z,Mel,https://uk.trustpilot.com/users/5e31d0bafe8989210525a253
5,We are very happy with FreeAgent. The clarity and simplicity are far superior to previous software. Back up has been first class and changeover seemless.,2020-01-29T17:39:53Z,Derek,https://uk.trustpilot.com/users/5e31c369e5a4c7a4178ab840
4,Wasn't expecting too much when i started but after some useful guidance from free agent staff I have found it very easy to use.,2020-01-29T17:29:02Z,Anne,https://uk.trustpilot.com/users/5e31c0defe8989d512259543
5,"Very easy to use. The app is fantastic, I travel a lot as passenger and find i can do most of my accounts on the move. I also use KashFlow for another business but I find it very limited and hard to use. I am considering swapping both to FreeAgent. If you are a Natwest business customer you get FreeAgent for Free",2020-01-29T17:18:30Z,Paul,https://uk.trustpilot.com/users/5e31be65d1e2f947f59f8979
5,"Practical, intuitive and comprehensive features with great back up support. Indispensable.",2020-01-29T16:35:33Z,Kevin,https://uk.trustpilot.com/users/5e31b455e5a4c77d278aa9e5
5,Self Assessment made easy!! I love it love it... so many functions and easy to use. My only ask is to allow multiple selection of transactions. so if I have petrol expense from different gas stations.. allow me to select them all and allocate to appropriate category. (Forgive me if it is there and I have missed it!!),2020-01-29T16:23:03Z,Yvett,https://uk.trustpilot.com/users/5e31b166d1e2f900029f7ca6
4,"I have been using FreeAgent for just over a year now and I am very happy with it. Saves a lot of time and I really like the invoicing system all being linked in. As a farming business some of the payment explanations do not fit, buts as updates are frequently happening I guess this might improve .",2020-01-29T15:41:48Z,Richard Holloway,https://uk.trustpilot.com/users/5935830b0000ff000aa019a8
5,Easy to use and the software soon gets used to the scope of entries for the business. Good for reporting and professional looking invoicing and the VAT calculations and submissions are very helpful.,2020-01-29T15:31:40Z,Howard Price,https://uk.trustpilot.com/users/5694c5d30000ff0001fb7538
4,"Certainly does all I need it to do, easy now I know. Great back up of help to access, bit of a pain renewing permission for bank account access every 90 days, but does make life easier",2020-01-29T15:24:57Z,andy o,https://uk.trustpilot.com/users/4e2742fc00006400010a46e1
5,"Tried lots of different software over 26 years and decided to keep up with technology and go online, wish I had done it years ago, very easy to use and saves me lots of time as invoicing done on site.",2020-01-29T15:24:17Z,Paul Claridge,https://uk.trustpilot.com/users/5767bc800000ff000a2ac6b8
5,"Great for contractors and freelancers. Corp tax, personal tax, vat and PAYE all in one place.",2020-01-29T15:19:31Z,AR Tax Accountants,https://uk.trustpilot.com/users/5e31a282ddcefa60a7614397
5,Very easy to use and gives you peace of mind and accurate account Figures at the touch of a button. Definitely recommend👍,2020-01-29T15:03:13Z,Andrew,https://uk.trustpilot.com/users/5e319eb1fe89891d702574c0
5,I find this really easy to use and any problems the support team are fab and only a call away. I use this for both of my small businesses.,2020-01-29T15:02:01Z,Adrian,https://uk.trustpilot.com/users/5e319e69e5a4c739bc8a94f6
